%OpenBCI Raw EEG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
60.0, -20354.392570780823, 21595.40612642838, -33060.88990698933, -31772.892984496713, -25571.44618886068, -25810.811020232562, -21675.179502389372, -774.2420761873814, -24922.239771156284, -1931.8836250166448, -25968.18965294238, -30226.040509467188, -26048.38771204802, -7845.17173113486, -20134.339646618326, -32345.92465709742, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6689769487726731E9, 0.0, 2022-11-20 15:42:28.772
62.0, -20394.759821267107, 21860.654277879512, -33093.07641900497, -31819.988110064045, -25596.21192171716, -25844.808023549085, -21704.125011458997, -802.4499776899788, -24850.311857499106, -1858.4804962254163, -25894.495951473233, -30150.133985296965, -25972.816464044627, -7770.002814531662, -20066.032715562906, -32275.226089385284, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.668976948772679E9, 0.0, 2022-11-20 15:42:28.772
64.0, -20372.117504133883, 21579.715201820756, -33073.31747690648, -31786.86282478128, -25575.894186007285, -25819.461145336765, -21679.76161000271, -779.1594599675489, -24933.907381761957, -1941.0925437322312, -25979.745504825773, -30234.355358404562, -26057.171947618957, -7852.726620760754, -20144.777911278954, -32351.557296700157, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6689769487726843E9, 0.0, 2022-11-20 15:42:28.772
66.0, -20372.98922216764, 21865.728123870867, -33067.66248555928, -31797.792827819925, -25571.44618886068, -25816.53306681312, -21676.945290201344, -775.1584977100489, -24844.43334870736, -1853.9207403565338, -25886.471675213776, -30144.277828249673, -25960.277135405202, -7759.273977193115, -20056.667334636135, -32263.692589246344, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6689769487726893E9, 0.0, 2022-11-20 15:42:28.772
68.0, -20383.159265894803, 21590.868722303956, -33081.27469793257, -31795.512949885484, -25577.235290674602, -25825.183191917324, -21683.04731643764, -786.1108524931494, -24933.437995128395, -1927.815607525779, -25976.57155711312, -30226.487544356292, -26047.35953180308, -7842.623632266955, -20133.78085300694, -32338.101546538062, 0.054, 0.9520000000000001, -0.156, 192.0, 0.5, 88.0, 14.5, 96.0, 125.5, 16.0, 0.0, 0.0, 0.0, 1.6689769487726943E9, 0.0, 2022-11-20 15:42:28.772
70.0, -20380.857036215908, 21835.441510133925, -33070.2552879161, -31796.608185363795, -25569.658049304253, -25824.132659927924, -21677.90641521292, -780.9475995239735, -24858.82787213658, -1862.9284933720226, -25895.79235265164, -30152.167994042396, -25962.959344739837, -7764.884265051397, -20053.180462501106, -32262.463243301303, 0.054, 0.9520000000000001, -0.156, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6689769487726996E9, 0.0, 2022-11-20 15:42:28.772
72.0, -20399.3642806249, 21599.585902641524, -33087.57788986896, -31801.0561825104, -25590.06519199195, -25844.31628517107, -21696.167790432908, -801.7570736118644, -24942.624562099525, -1943.3724216666726, -25987.34509794058, -30238.40102415097, -26060.703523242897, -7858.7168882747765, -20136.21719315257, -32346.12582279752, 0.054, 0.9520000000000001, -0.156, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6689769487727044E9, 0.0, 2022-11-20 15:42:28.772
74.0, -20359.824044683464, 21823.639789061523, -33045.1989823817, -31773.541185085916, -25554.212993885638, -25811.14629639939, -21669.43510406436, -771.8951430195741, -24856.033904079664, -1867.2423800518968, -25882.962451334293, -30145.06013930561, -25961.66294356143, -7762.738497583688, -20049.7829973439, -32259.691626988846, 0.054, 0.9520000000000001, -0.156, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6689769487727094E9, 0.0, 2022-11-20 15:42:28.772
76.0, -20401.80062077053, 21622.675254663856, -33091.15416898181, -31808.611072136293, -25603.945625298697, -25852.362913174977, -21713.803316808142, -816.6880389080095, -24927.73830029229, -1932.5094738613934, -25975.968060012827, -30228.54390484618, -26056.68020924094, -7853.307766116592, -20132.015065194973, -32343.01893031823, 0.054, 0.9520000000000001, -0.156, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6689769487727144E9, 0.0, 2022-11-20 15:42:28.772
78.0, -20357.521815004566, 21782.93726240841, -33041.17566837974, -31767.416807105164, -25552.938944451686, -25809.402860331877, -21667.356391830017, -772.833916286697, -24855.050427323633, -1872.4726882544385, -25891.4114107384, -30151.25157251973, -25965.105112207548, -7770.181628487305, -20054.521567168424, -32267.112406148008, 0.054, 0.9480000000000001, -0.154, 192.0, 0.5, 88.0, 14.5, 80.0, 125.5, 24.0, 0.0, 0.0, 0.0, 1.6689769487727191E9, 0.0, 2022-11-20 15:42:28.772
80.0, -20415.770461055097, 21646.43515901985, -33102.732372609666, -31823.363223476797, -25612.931026569728, -25865.058704025592, -21723.123994246005, -826.411047746068, -24926.911285747443, -1929.3131744042844, -25973.554071611652, -30223.42535536592, -26052.85806093908, -7848.07745791405, -20120.101585400294, -32333.027700546707, 0.054, 0.9480000000000001, -0.154, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6689769487727244E9, 0.0, 2022-11-20 15:42:28.772
82.0, -20353.252631813604, 21746.146291034973, -33033.06198514247, -31756.66561802216, -25545.451110059155, -25792.080258379014, -21654.370028301484, -756.8524190011525, -24883.034811381676, -1892.6339617531255, -25910.32098654759, -30169.647058206447, -25988.57444388562, -7783.503268182668, -20070.525416198423, -32283.96562146731, 0.054, 0.9480000000000001, -0.154, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6689769487727296E9, 0.0, 2022-11-20 15:42:28.772
84.0, -20409.89195226335, 21694.58081657658, -33096.429180673265, -31813.506104172007, -25608.572436400944, -25846.59616310551, -21710.62936909549, -812.575317928233, -24911.421526839917, -1904.390979336617, -25951.671713789907, -30196.87148295301, -26037.189488075914, -7820.003666878184, -20098.710965956565, -32311.078287491597, 0.054, 0.9480000000000001, -0.154, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6689769487727349E9, 0.0, 2022-11-20 15:42:28.772
86.0, -20338.79105315102, 21723.548677390656, -33028.323415317944, -31743.343978326797, -25552.3801508403, -25783.00545013016, -21651.7101707113, -751.4656485874234, -24882.49836951475, -1883.6932639710028, -25904.84480915604, -30156.504232466727, -25992.642461376487, -7778.094146024484, -20071.26302376545, -32282.982144711277, 0.054, 0.9480000000000001, -0.154, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.66897694877274E9, 0.0, 2022-11-20 15:42:28.772
88.0, -20418.877353534386, 21723.168697734916, -33102.39709644283, -31818.82581935237, -25637.4508902372, -25863.4046749359, -21730.522421660713, -829.0485535917943, -24904.49248605877, -1891.359912319173, -25944.206231141834, -30180.577061245094, -26032.182697317923, -7816.02505636514, -20103.82951543683, -32309.223092701806, 0.053000000000000005, 0.9490000000000001, -0.155, 192.0, 0.5, 80.0, 14.5, 88.0, 125.5, 16.0, 0.0, 0.0, 0.0, 1.668976948772745E9, 0.0, 2022-11-20 15:42:28.772
90.0, -20339.394550251312, 21684.47782808278, -33022.333147803925, -31732.123402610232, -25559.219784643625, -25778.512749494643, -21653.14068235644, -751.1303724205939, -24893.674241742403, -1893.5280315313378, -25913.450230771334, -30162.78507265867, -26002.29841498118, -7787.683044395811, -20086.6410239507, -32284.5691185676, 0.053000000000000005, 0.9490000000000001, -0.155, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6689769487727497E9, 0.0, 2022-11-20 15:42:28.772
92.0, -20416.2174959442, 21758.037419085198, -33101.12304700888, -31818.02115655198, -25636.422709992257, -25862.622363879964, -21730.142442004973, -829.3391262697132, -24893.338965575575, -1882.978008148433, -25931.957475180327, -30173.133930341475, -26024.001958847282, -7805.475032982235, -20093.88298915422, -32287.139569179963, 0.053000000000000005, 0.9490000000000001, -0.155, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6689769487727568E9, 0.0, 2022-11-20 15:42:28.772
94.0, -20340.042750840516, 21645.295220052627, -33027.138772861814, -31734.403280544673, -25555.24117413058, -25790.44858103378, -21656.269926580182, -761.4568783589457, -24900.558579034638, -1909.6659910280696, -25927.643588500454, -30180.085322867075, -26017.5423046997, -7805.586791704512, -20098.733317701022, -32296.795522784654, 0.053000000000000005, 0.9490000000000001, -0.155, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.668976948772782E9, 0.0, 2022-11-20 15:42:28.772
96.0, -20430.43320541778, 21779.11511410655, -33108.63323314586, -31827.095964800832, -25627.437308721223, -25875.988707064236, -21737.227944997307, -842.4596002649785, -24888.466285284318, -1878.7982319352905, -25929.677597245885, -30164.997895359746, -26013.85426686457, -7802.524602714134, -20082.081268081816, -32286.06668544611, 0.053000000000000005, 0.9490000000000001, -0.155, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.668976948772787E9, 0.0, 2022-11-20 15:42:28.772
98.0, -20362.059219128994, 21604.615045143968, -33041.82386896895, -31753.782242987425, -25566.72997078061, -25809.134639398413, -21674.665412266902, -782.0204832578282, -24931.672207316424, -1928.4414563705275, -25957.930202237392, -30202.392363833475, -26036.58599097562, -7832.319478073058, -20118.045224910406, -32326.031604532196, 0.051500000000000004, 0.9485000000000001, -0.1535, 192.0, 0.5, 72.0, 14.5, 80.0, 125.5, 32.0, 0.0, 0.0, 0.0, 1.668976948772792E9, 0.0, 2022-11-20 15:42:28.772
100.0, -20415.546943610545, 21812.64273078951, -33093.74697133863, -31819.85399959731, -25624.35276798639, -25863.672895869364, -21725.850907069555, -831.8201699042523, -24891.79669520816, -1876.7195197009469, -25927.88945768946, -30165.377875015485, -26009.629787162517, -7800.937628857807, -20083.511779726956, -32294.225072172296, 0.051500000000000004, 0.9485000000000001, -0.1535, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.668976948772797E9, 0.0, 2022-11-20 15:42:28.772
102.0, -20338.478128728646, 21599.541199152613, -33028.50222927359, -31736.124364867734, -25559.95739221065, -25790.515636267144, -21656.00170564672, -762.5074103483452, -24919.959893221843, -1916.5726800647594, -25946.46375733182, -30194.278680596195, -26033.1438223295, -7824.004629135684, -20110.423280051145, -32322.723546352812, 0.051500000000000004, 0.9485000000000001, -0.1535, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.668976948772802E9, 0.0, 2022-11-20 15:42:28.772
104.0, -20378.152475136816, 21858.843786578633, -33065.650828558304, -31780.76079854498, -25604.862046821363, -25830.167630930857, -21697.15126718894, -801.153576511571, -24849.507194698715, -1839.6379756495926, -25887.097524058525, -30126.172915240877, -25981.265423448735, -7761.464448149735, -20049.87240432172, -32256.785900209656, 0.051500000000000004, 0.9485000000000001, -0.1535, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6689769487728071E9, 0.0, 2022-11-20 15:42:28.772
106.0, -20348.64817245581, 21588.90176879189, -33045.042520170515, -31741.51113528146, -25581.884453521307, -25799.948072427283, -21674.978336689277, -778.220686700426, -24904.760706992234, -1897.3054763442847, -25933.209172869825, -30176.620802476504, -26029.81341240566, -7810.370065017947, -20107.003463149485, -32306.63029034499, 0.051500000000000004, 0.9485000000000001, -0.1535, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.668976948772812E9, 0.0, 2022-11-20 15:42:28.772
108.0, -20379.78415248205, 21862.643583136032, -33073.697456562215, -31788.181577704145, -25608.50538116758, -25837.92368625685, -21708.215380694317, -810.608364416166, -24852.54703194464, -1843.5271791848159, -25886.60578568051, -30125.16708674039, -25986.808656073652, -7764.638395862388, -20064.333982984303, -32264.43019681337, 0.04775, 0.95025, -0.15475, 192.0, 0.5, 48.0, 14.5, 96.0, 125.5, 16.0, 0.0, 0.0, 0.0, 1.6689769487728171E9, 0.0, 2022-11-20 15:42:28.772
110.0, -20344.02136135356, 21582.442114644306, -33044.68489225923, -31749.17778362963, -25576.67649706322, -25806.318319597045, -21674.33013610007, -781.8193175577304, -24914.751936763758, -1913.0858079297316, -25947.60369629904, -30190.702401483348, -26042.509203256275, -7829.8384344385195, -20121.71091100108, -32325.91984580992, 0.04775, 0.95025, -0.15475, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6689769487728238E9, 0.0, 2022-11-20 15:42:28.772
112.0, -20380.6111670269, 21855.46867316588, -33067.66248555928, -31790.014420749478, -25593.06032574896, -25835.666160066863, -21695.13961018796, -803.2993439792805, -24847.20496501982, -1843.5718826737266, -25880.570814677576, -30121.769621583182, -25966.468568619322, -7759.475142893213, -20044.59739263027, -32258.19406011034, 0.04775, 0.95025, -0.15475, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6689769487728288E9, 0.0, 2022-11-20 15:42:28.772
114.0, -20375.246748357626, 21571.22153892774, -33065.13673843584, -31771.95421122959, -25583.717296566643, -25819.25997963667, -21684.343717616048, -790.2459252173812, -24931.89572476098, -1925.133398191142, -25972.794112300173, -30212.294186627172, -26049.862927182072, -7842.713039244776, -20125.153079647192, -32338.101546538062, 0.04775, 0.95025, -0.15475, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6689769487728338E9, 0.0, 2022-11-20 15:42:28.772
116.0, -20378.84537921493, 21841.297667181214, -33056.48661333163, -31779.665563066672, -25584.410200644757, -25821.00341570418, -21683.986089704766, -789.2400967168924, -24858.090264569553, -1850.7691443883355, -25894.160675306404, -30134.53246766716, -25973.3305541671, -7758.357555670447, -20052.800482845367, -32261.85974620101, 0.04775, 0.95025, -0.15475, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6689769487728388E9, 0.0, 2022-11-20 15:42:28.772
